case_id,age,gender,business_sector,business_age_yrs,num_applicants,cibil_score,num_active_loans,num_overdue_accounts,loan_ask_lakhs,annual_gst_turnover_lakhs,gst_seasonality_cv,revenue_lakhs,cogs_pct,net_profit_margin_pct,cash_profit_lakhs,total_assets_lakhs,total_debt_lakhs,net_worth_lakhs,debt_to_equity,current_ratio,debtors_days,creditors_days,avg_bank_balance_lakhs,total_credits_12m_lakhs,total_debits_12m_lakhs,num_cheque_bounces,num_emi_bounces,bank_credit_to_revenue,loan_to_revenue,loan_to_net_worth,abb_to_loan,cash_profit_to_loan,foir,risk_label,risk_label_3class
GC-LAP-00049,44,F,Construction,12,1,778.0,1,0,94.1,1356.6,0.2062,1301.3,41.7,38.51,524.4,1169.7,500.7,669.0,0.748,1.17,17.0,134,31.62,1252.8,1091.0,1.0,0,0.963,0.072,0.141,0.336,5.573,0.037,Low,Low
GC-LAP-00050,27,M,Services,12,1,854.0,5,0,114.7,90.1,0.3146,82.0,62.1,24.09,22.7,107.8,84.8,22.9,3.701,1.05,24.0,5,8.73,81.4,76.1,2.0,0,0.992,1.398,5.003,0.0761,0.198,2.05,Medium,Medium
GC-LAP-00051,44,F,Textiles,1,2,813.0,2,0,260.5,404.3,0.3444,342.6,65.4,27.07,95.7,306.7,140.6,166.1,0.847,1.38,89.0,45,17.21,330.7,339.4,3.0,1,0.965,0.76,1.568,0.0661,0.367,0.518,Medium,Medium
GC-LAP-00052,38,M,Construction,13,1,695.0,0,0,159.6,,0.4559,195.2,68.1,20.53,47.4,285.3,194.4,90.9,2.14,1.3,71.0,66,15.85,178.5,177.1,,0,0.914,0.818,1.756,0.0993,0.297,0.485,Medium-Low,Low
GC-LAP-00053,36,M,Trading,6,1,772.0,2,0,290.4,816.4,0.1673,820.5,66.6,24.99,209.2,1330.7,180.0,1150.7,0.156,1.13,156.0,64,5.33,585.3,397.3,0.0,1,0.713,0.354,0.252,0.0184,0.72,0.257,Medium-Low,Low
GC-LAP-00054,46,M,Trading,4,1,740.0,1,0,230.6,,0.0253,115.1,62.7,21.52,31.6,239.3,190.3,49.1,3.879,2.2,50.0,55,107.15,116.0,121.2,1.0,0,1.008,2.004,4.701,0.4647,0.137,1.241,Medium-High,High
GC-LAP-00055,50,M,Manufacturing,4,1,680.0,4,0,106.8,321.2,0.0397,373.5,79.7,10.97,52.0,484.6,198.6,286.0,0.694,1.8,23.0,79,7.97,409.6,326.7,0.0,2,1.097,0.286,0.373,0.0746,0.487,0.757,High,High
GC-LAP-00056,49,M,Manufacturing,12,1,,1,2,198.6,268.9,0.186,271.6,78.6,,47.4,223.7,94.0,129.7,0.725,1.53,131.0,58,15.74,247.9,244.2,0.0,1,0.913,0.731,1.531,0.0793,0.239,0.729,Medium-High,High
GC-LAP-00057,35,M,Logistics,8,1,691.0,1,0,295.8,137.1,0.3847,125.4,43.4,20.1,25.9,100.4,8.8,91.6,0.096,1.47,98.0,42,13.32,151.9,150.4,1.0,0,1.212,2.36,3.228,0.045,0.088,1.876,Medium,Medium
GC-LAP-00058,39,M,Trading,1,2,,0,1,131.4,190.3,0.3457,235.6,61.3,14.11,39.2,295.4,85.5,210.0,0.407,1.57,58.0,68,23.97,300.5,273.0,0.0,2,1.275,0.558,0.626,0.1824,0.298,0.483,Medium,Medium
GC-LAP-00059,44,M,Textiles,12,1,637.0,2,0,179.7,242.0,0.1676,239.2,43.2,23.79,68.3,372.3,139.5,232.8,0.599,1.75,151.0,24,19.19,235.9,242.3,0.0,1,0.986,0.751,0.772,0.1068,0.38,0.555,Medium,Medium
GC-LAP-00060,49,M,Manufacturing,2,2,614.0,2,1,48.2,333.5,0.133,381.5,33.4,43.37,181.0,377.3,75.7,301.6,0.251,1.48,61.0,95,34.12,319.9,299.0,0.0,0,0.839,0.126,0.16,0.7079,3.755,0.105,Medium-Low,Low
GC-LAP-00061,38,M,Trading,10,2,702.0,4,1,92.1,56.3,0.305,64.8,51.5,32.81,23.8,93.4,44.7,48.7,0.918,0.5,144.0,62,28.69,98.3,100.9,0.0,1,1.517,1.421,1.89,0.3115,0.258,1.569,Medium-High,High
GC-LAP-00062,40,M,Logistics,11,1,739.0,0,0,109.8,246.2,0.162,245.9,58.9,27.06,73.3,289.9,155.3,134.5,1.154,1.4,58.0,39,12.52,258.7,244.1,0.0,0,1.052,0.446,0.816,0.114,0.668,0.216,Low,Low
GC-LAP-00063,33,M,Manufacturing,14,1,652.0,4,1,65.0,512.1,0.1343,525.9,48.6,7.98,52.2,517.3,187.7,329.6,0.57,1.2,103.0,54,75.95,367.4,323.1,0.0,2,0.699,0.124,0.197,1.1685,0.803,0.639,Medium,Medium
GC-LAP-00064,32,M,Services,18,3,751.0,6,0,129.9,759.0,0.1511,795.9,37.9,32.62,285.3,1068.3,237.1,831.2,0.285,1.45,67.0,61,6.46,599.6,490.7,0.0,0,0.753,0.163,0.156,0.0497,2.196,0.192,Low,Low
GC-LAP-00065,48,M,Food_Processing,3,2,722.0,2,2,332.0,374.4,0.0826,442.8,48.8,21.08,106.6,789.5,306.9,482.6,0.636,2.17,88.0,51,8.76,569.6,607.0,0.0,0,1.287,0.75,0.688,0.0264,0.321,0.561,Medium,Medium
GC-LAP-00066,52,M,Food_Processing,9,1,759.0,3,0,144.5,439.9,0.1161,402.8,77.8,10.62,56.8,444.2,249.1,195.0,1.277,2.14,60.0,109,2.6,531.6,423.5,2.0,1,1.32,0.359,0.741,0.018,0.393,0.684,Medium-Low,Low
GC-LAP-00067,41,M,Retail,8,3,776.0,1,0,267.7,123.8,0.09,123.1,67.3,19.64,30.0,117.1,31.9,85.1,0.375,1.17,23.0,53,10.07,117.3,90.5,0.0,0,0.953,2.175,3.144,0.0376,0.112,1.487,Medium,Medium
GC-LAP-00068,50,M,Textiles,12,2,800.0,1,0,183.6,236.7,0.1552,300.2,60.0,15.55,54.6,90.1,45.8,44.3,1.034,1.55,102.0,14,4.4,210.6,207.1,0.0,0,0.702,0.612,4.146,0.024,0.297,0.594,Low,Low
GC-LAP-00069,44,M,Construction,11,1,756.0,2,0,336.9,125.6,0.5702,137.1,59.7,28.44,42.2,118.6,78.0,40.6,1.918,2.99,27.0,40,7.05,111.6,103.5,0.0,0,0.814,2.457,8.29,0.0209,0.125,1.434,Medium-Low,Low
GC-LAP-00070,36,M,Trading,8,3,702.0,2,0,115.6,263.3,0.2637,325.4,60.5,26.56,89.9,461.3,218.2,243.1,0.898,2.09,73.0,69,23.78,360.6,307.1,0.0,0,1.108,0.355,0.476,0.2057,0.777,0.319,Low,Low
GC-LAP-00071,44,F,Retail,7,1,731.0,1,0,80.3,1496.3,0.1503,1303.9,60.1,27.05,359.3,1621.0,1086.3,534.7,2.031,2.5,113.0,97,19.77,1398.6,1349.5,2.0,0,1.073,0.062,0.15,0.2462,4.474,0.049,Low,Low
GC-LAP-00072,54,M,Logistics,4,3,859.0,2,0,192.0,834.6,0.5206,1086.4,67.7,13.04,154.6,1981.5,758.5,1223.0,0.62,1.82,149.0,76,21.43,1175.6,1247.1,0.0,2,1.082,0.177,0.157,0.1116,0.805,0.256,Medium-Low,Low
GC-LAP-00073,41,M,Services,14,1,779.0,1,0,46.8,522.2,0.1322,604.0,90.0,3.71,49.7,554.4,202.3,352.1,0.575,1.33,117.0,31,14.84,556.3,522.4,0.0,0,0.921,0.077,0.133,0.3171,1.061,0.256,Low,Low
GC-LAP-00074,54,M,Trading,12,1,724.0,1,0,171.7,374.8,0.2442,440.6,33.6,38.43,190.4,486.0,245.4,240.6,1.02,2.11,10.0,27,15.3,402.0,302.9,0.0,0,0.912,0.39,0.714,0.0891,1.109,0.161,Low,Low
GC-LAP-00075,25,M,Services,14,2,710.0,5,0,31.9,251.6,0.3144,230.6,43.0,40.4,95.5,304.2,168.9,135.3,1.248,0.8,80.0,39,16.78,189.6,188.8,1.0,1,0.822,0.138,0.236,0.526,2.993,0.362,Medium,Medium
GC-LAP-00076,48,F,Construction,8,1,684.0,1,0,71.1,473.4,0.3253,575.3,65.2,28.79,178.4,688.4,46.9,641.5,0.073,2.07,42.0,8,4.36,678.2,550.2,0.0,0,1.179,0.124,0.111,0.0613,2.509,0.091,Low,Low
GC-LAP-00077,42,M,Trading,6,1,648.0,2,0,148.1,196.8,0.2321,165.9,57.9,29.1,54.2,283.5,29.2,254.3,0.115,1.63,60.0,105,14.62,151.2,148.0,0.0,0,0.912,0.893,0.582,0.0987,0.366,0.614,Medium-Low,Low
GC-LAP-00078,39,M,Construction,4,2,822.0,0,0,55.9,1366.2,0.1638,1494.1,61.8,26.56,,609.7,334.1,275.6,1.212,2.27,103.0,59,37.18,1394.6,1259.9,0.0,1,0.933,0.037,0.203,0.6651,8.057,0.018,Medium-Low,Low
GC-LAP-00079,42,M,Services,11,1,748.0,2,0,93.8,536.5,0.2652,558.4,35.2,37.62,235.0,1144.3,906.9,237.4,3.82,2.03,91.0,67,,422.4,464.7,,0,0.757,0.168,0.395,0.0902,2.505,0.109,Low,Low
GC-LAP-00080,26,M,Services,4,3,643.0,2,0,54.6,591.3,0.2903,696.0,44.6,22.69,187.2,1103.1,209.2,893.8,0.234,1.78,23.0,79,6.55,794.5,784.6,0.0,0,1.142,0.078,0.061,0.12,3.428,0.106,Low,Low
GC-LAP-00081,40,M,Trading,19,1,712.0,4,1,183.9,212.4,0.1834,232.1,61.4,22.38,57.6,353.6,145.0,208.6,0.695,1.52,55.0,41,6.86,235.2,216.4,1.0,0,1.013,0.792,0.882,0.0373,0.313,0.876,Medium-High,High
GC-LAP-00082,44,M,Manufacturing,3,3,796.0,2,0,237.2,217.3,0.1071,266.1,53.0,34.73,95.2,481.6,254.3,227.3,1.119,1.34,91.0,53,8.2,221.5,179.1,1.0,0,0.832,0.891,1.044,0.0346,0.401,0.485,Medium-Low,Low
GC-LAP-00083,53,F,Services,11,1,693.0,1,0,120.2,178.8,0.1601,212.4,53.6,34.25,82.6,212.3,73.6,138.6,0.531,1.21,100.0,39,1.56,254.8,266.3,0.0,1,1.2,0.566,0.867,0.013,0.688,0.282,Medium-Low,Low
GC-LAP-00084,37,F,Services,17,2,671.0,4,0,448.4,125.1,0.208,160.3,47.0,26.18,50.5,151.5,62.7,88.8,0.706,1.58,45.0,49,14.05,153.3,152.7,0.0,0,0.956,2.797,5.049,0.0313,0.113,1.752,Medium,Medium
GC-LAP-00085,35,M,Trading,12,1,741.0,1,0,104.3,794.5,0.2385,855.8,57.4,21.4,212.5,1817.4,777.1,1040.3,0.747,2.24,64.0,67,9.34,580.4,497.4,0.0,0,0.678,0.122,0.1,0.0895,2.037,0.099,Low,Low
GC-LAP-00086,37,M,Trading,10,2,759.0,5,0,53.9,484.3,0.1382,455.4,45.0,23.12,121.0,649.5,223.6,425.9,0.525,,,46,8.48,475.1,463.7,0.0,2,1.043,0.118,0.127,0.1573,2.245,0.312,Medium-Low,Low
GC-LAP-00087,49,M,Trading,5,1,693.0,2,0,50.9,224.6,0.2441,252.7,45.1,33.21,85.5,287.6,143.6,144.0,0.997,1.64,60.0,69,18.71,226.5,195.0,0.0,0,0.896,0.201,0.353,0.3676,1.68,0.226,Low,Low
GC-LAP-00088,44,M,Services,3,1,684.0,0,0,110.0,196.7,0.2865,177.2,66.5,20.31,43.4,223.9,178.4,45.5,3.919,0.88,79.0,67,19.49,201.1,136.2,1.0,0,1.135,0.621,2.417,0.1772,0.395,0.365,Medium,Medium
GC-LAP-00089,37,M,Logistics,13,1,747.0,0,1,145.7,834.7,0.1417,962.1,61.2,15.42,190.6,1305.6,461.0,844.5,0.546,0.52,63.0,82,15.31,859.1,905.5,0.0,0,0.893,0.151,0.173,0.1051,1.308,0.11,Medium-Low,Low
GC-LAP-00090,46,M,Retail,17,1,652.0,1,1,537.1,431.5,0.1936,546.0,68.3,8.39,84.6,475.7,156.1,319.6,0.489,2.46,40.0,112,9.41,475.2,454.3,1.0,0,0.87,0.984,1.681,0.0175,0.158,0.985,Medium-High,High
GC-LAP-00091,42,M,Textiles,7,1,687.0,4,0,63.2,223.2,0.07,195.9,54.5,18.34,42.6,191.0,54.8,136.2,0.402,1.49,75.0,86,4.55,188.2,177.6,0.0,0,0.961,0.323,0.464,0.072,0.675,0.776,Medium-Low,Low
GC-LAP-00092,49,F,Services,4,2,712.0,2,2,82.1,676.8,0.2707,857.6,68.3,17.08,,928.2,46.4,881.8,,1.61,79.0,55,3.96,639.9,592.3,3.0,0,0.746,0.096,0.093,0.0482,1.936,0.15,Medium,Medium
GC-LAP-00093,36,M,Services,1,1,764.0,1,0,159.8,1137.1,0.2663,1085.5,87.6,9.79,114.5,1126.6,321.0,805.6,0.398,1.18,69.0,41,12.08,729.0,670.1,2.0,1,0.672,0.147,0.198,0.0756,0.716,0.253,Low,Low
GC-LAP-00094,39,M,Trading,5,1,694.0,0,2,127.2,200.2,0.1458,161.7,50.2,24.29,43.5,326.5,168.1,158.3,1.062,2.38,111.0,66,12.0,214.1,202.8,0.0,0,1.324,0.787,0.803,0.0943,0.342,0.421,Medium,Medium
GC-LAP-00095,38,M,Construction,9,3,753.0,2,1,83.6,223.9,0.4082,207.8,49.4,26.24,57.2,124.5,39.6,84.9,0.466,1.08,88.0,34,11.1,286.4,246.5,0.0,0,1.379,0.402,0.984,0.1328,0.684,0.42,Low,Low
GC-LAP-00096,30,M,Trading,17,2,789.0,2,0,116.9,256.8,0.5869,344.2,67.0,23.63,86.9,437.7,181.6,256.1,0.709,0.78,39.0,10,37.32,327.6,236.6,3.0,0,0.952,0.34,0.456,0.3192,0.744,0.332,Medium-Low,Low
GC-LAP-00097,44,M,Retail,13,3,689.0,2,0,60.8,369.3,0.1916,348.8,60.9,23.97,87.2,173.9,22.0,151.9,0.144,1.91,20.0,91,6.07,330.5,271.1,0.0,0,0.948,0.174,0.4,0.0998,1.435,0.238,Low,Low
GC-LAP-00098,44,M,Trading,11,3,900.0,1,0,91.8,292.8,0.1432,207.1,62.2,15.5,37.4,179.0,53.0,126.0,0.421,0.83,44.0,38,20.41,232.5,229.2,1.0,1,1.123,0.443,0.729,0.2223,0.408,0.514,Low,Low
